correct,in_candidates,correct_spelling,misspelling,phoneme_rep,suggested,suggested_phoneme,candidates
0.0,0.0,overage,overaged,OW V ER IH JH D,averaged,AE V R IH JH D,"['averaged', 'overfeed', 'overdid', 'overrode', 'overload', 'overfed', 'overlaid', 'overpaid', 'overjoyed', 'overhead']"
1.0,1.0,password,pasword,P AE S W ER D,password,P AE S W ER D,"['password', 'persuade', 'pestered', 'catchword', 'backward', 'bastard', 'poleward', 'patchwork', 'pastures', 'pastors']"
1.0,1.0,people,poeple,P OW P AH L,people,P IY P AH L,"['people', 'papal', 'purple', 'popple', 'bhopal', 'pebble', 'fipple', 'focal', 'coble', 'couple']"
1.0,1.0,persuade,perswade,P ER S W EY D,persuade,P ER S W EY D,"['persuade', 'password', 'dissuade', 'perceived', 'paraded', 'pertained', 'personae', 'parading', 'pervades', 'assuaged']"
0.0,0.0,physical,phiscal,F IH S K AH L,fiscal,F IH S K AH L,"['fiscal', 'gaskell', 'haskell', 'pistol', 'pistil', 'viscous', 'rascal', 'fearful', 'visceral', 'fitful']"
0.0,1.0,poorly,porly,P AO R L IY,parley,P AA R L IY,"['parley', 'sorely', 'poorly', 'morley', 'porky', 'warley', 'porgy', 'parlay', 'farley', 'barley']"
1.0,1.0,possibly,posibly,P AA Z AH B L IY,possibly,P AA S AH B L IY,"['possibly', 'passably', 'peaceably', 'feasibly', 'visibly', 'possible', 'partially', 'honourably', 'plausibly', 'audibly']"
0.0,1.0,predator,preaditor,P R IY AE D AH T ER,predators,P R EH D AH T ER Z,"['predators', 'predator']"
1.0,1.0,preferred,preffered,P R EH F ER D,preferred,P R AH F ER D,"['preferred', 'preferred', 'preferred', 'proffered', 'pressured', 'prefers', 'prefers', 'crawford', 'prefers', 'preface']"
0.0,1.0,pressed,preased,P R IY S T,priest,P R IY S T,"['priest', 'pressed', 'preached', 'priced', 'proust', 'proust', 'greased', 'trieste', 'braced', 'placed']"
0.0,0.0,pretend,petend,P AH T EH N D,pertained,P ER T EY N D,"['pertained', 'buttoned', 'patterned', 'commend', 'patina', 'patella', 'intend', 'poland', 'poisoned', 'depend']"
0.0,1.0,pretending,pretenden,P R IY T EH N D AH N,pretended,P R IY T EH N D AH D,"['pretended', 'pretension', 'pretending', 'pretended', 'pretenders', 'pretentious', 'prevention', 'pretender', 'pretends', 'retention']"
0.0,1.0,pretending,prtending,P R T EH N D IH NG,intending,IH N T EH N D IH NG,"['intending', 'impending', 'depending', 'partnering', 'retreading', 'preventing', 'preventing', 'pretends', 'pretending', 'pretender']"
0.0,1.0,probably,probaly,P R OW B AH L IY,probity,P R OW B AH T IY,"['probity', 'globally', 'partially', 'potable', 'parable', 'propylene', 'probably', 'rosalie', 'robles', 'robustly']"
0.0,0.0,probably,probly,P R AA B L IY,bromley,B R AA M L IY,"['bromley', 'broccoli', 'proudly', 'primly', 'prickly', 'presley', 'proxy', 'proverb', 'audibly', 'purely']"
1.0,1.0,probably,probobly,P R AA B AH B L IY,probably,P R AA B AH B L IY,"['probably', 'probable', 'rockabilly', 'possibly', 'improbably']"
1.0,1.0,probably,probrely,P R AA B R AH L IY,probably,P R AA B AH B L IY,"['probably', 'probable', 'partially']"
0.0,1.0,realistic,raelistic,R EY L IH S T IH K,ballistic,B AH L IH S T IH K,"['ballistic', 'holistic', 'logistic', 'artistic', 'atheistic', 'realistic', 'lipsticks', 'lipstick']"
0.0,0.0,really,reall,R IY L,real,R IY L,"['real', 'reel', 'riel', 'rail', 'lille', 'leal', 'role', 'roll', 'rill', 'ryle', 'rile']"
0.0,1.0,really,relly,R EH L IY,rally,R AE L IY,"['rally', 'really', 'riley', 'reilly', 'wryly', 'really', 'raleigh', 'nelly', 'nellie', 'telly']"
1.0,1.0,received,recieved,R IH S IY V D,received,R IH S IY V D,"['received', 'received', 'received', 'receives', 'deceived', 'relieved', 'receiver', 'reserved', 'receives', 'receives']"
1.0,1.0,respond,respound,R IY S P AW N D,respond,R IY S P AA N D,"['respond', 'respond', 'response', 'expound', 'reopened', 'reassigned', 'propound', 'eastbound', 'rescinds', 'rebounds']"
1.0,1.0,restrictions,restrtictions,R EH S T R T IH K SH AH N Z,restrictions,R IY S T R IH K SH AH N Z,['restrictions']
1.0,1.0,ridiculous,rediculous,R IY D IH K Y AH L AH S,ridiculous,R IH D IH K Y AH L AH S,['ridiculous']
0.0,0.0,safety,saftety,S AE F T EH T IY,,,[]
1.0,1.0,safety,saftey,S AE F T IY,safety,S EY F T IY,"['safety', 'lefty', 'hefty', 'sandy', 'fifty', 'shifty', 'softer', 'rafter', 'nifty', 'softer']"
0.0,1.0,scam,scame,S K EY M,scheme,S K IY M,"['scheme', 'scum', 'skim', 'scam', 'skein', 'scale', 'skate', 'scape', 'sperm', 'spam']"
0.0,1.0,scammer,scamer,S K EY M ER,schemer,S K IY M ER,"['schemer', 'skimmer', 'scammer', 'scalar', 'skater', 'schema', 'schuyler', 'skeeter', 'skinner', 'steamer']"
1.0,1.0,screen,skreen,S K R IY N,screen,S K R IY N,"['screen', 'scream', 'screech', 'screed', 'sprain', 'scrape', 'spleen', 'strain', 'scram', 'scroll']"
0.0,1.0,shows,shose,SH UW Z,shoes,SH UW Z,"['shoes', 'shooed', 'shows', 'shies', 'chaise', 'shays', 'news', 'shoot', 'chute', 'shute']"
1.0,1.0,situation,sichweshen,S IH CH W EH SH AH N,situation,S IH CH UW EY SH AH N,"['situation', 'secession']"
0.0,0.0,someone,som1,S AA M,som,S AA M,"['som', 'psalm', 'some', 'sum', 'sim', 'sym', 'sam', 'salve', 'same', 'sejm']"
1.0,1.0,something,someting,S AH M T IH NG,something,S AH M TH IH NG,"['something', 'sifting', 'simmering', 'salting', 'sulking', 'sorting', 'shunting', 'thumping', 'bunting', 'pumping']"
1.0,1.0,something,somthing,S AA M TH IH NG,something,S AH M TH IH NG,"['something', 'chomping', 'simmering', 'romping', 'solving', 'sleuthing', 'soldering', 'charming', 'smoothing', 'calming']"
1.0,1.0,somewhere,somewere,S AH M W EH R,somewhere,S AH M W EH R,"['somewhere', 'someone', 'somewhat', 'software', 'compare', 'spyware', 'malware', 'elsewhere', 'unaware', 'swissair']"
1.0,1.0,space,spase,S P EY S,space,S P EY S,"['space', 'spice', 'spouse', 'spate', 'spake', 'spade', 'spayed', 'spain', 'apace', 'spies']"
0.0,1.0,stopping,stoping,S T OW P IH NG,stepping,S T EH P IH NG,"['stepping', 'stooping', 'stoking', 'stopping', 'scoping', 'stoning', 'sloping', 'stowing', 'stuffing', 'staffing']"
0.0,0.0,strangers,srangers,SH R EY N JH ER Z,grangers,G R EY N JH ER Z,"['grangers', 'granges', 'retainers', 'rangers', 'stranger', 'ranges', 'ranges', 'changers', 'dangers', 'trainers']"
0.0,0.0,strangers,strangrs,S T R AE NG ER Z,stringers,S T R IH NG ER Z,"['stringers', 'stretchers', 'strollers', 'streamers', 'strikers', 'strippers', 'stripers', 'strands', 'stronger', 'strapping']"
1.0,1.0,strangers,streanges,S T R IY N JH IH Z,strangers,S T R EY N JH ER Z,"['strangers', 'screenings', 'austrians']"
1.0,1.0,surprise,suprise,S UW P R AY Z,surprise,S ER P R AY Z,"['surprise', 'surprise', 'supplies', 'reprise', 'sunrise', 'emprise', 'sparrows', 'spices', 'spices', 'spiders']"
0.0,0.0,talk,talck,T AE L K,talc,T AE L K,"['talc', 'task', 'tank', 'tally', 'talley', 'tallow', 'teller', 'dank', 'telly', 'tells']"
1.0,1.0,talk,tawk,T AO K,talk,T AO K,"['talk', 'top', 'tech', 'toff', 'tyke', 'caulk', 'tuck', 'take', 'tick', 'tic']"
0.0,0.0,taught,tought,T AH F T,tuft,T AH F T,"['tuft', 'taft', 'toft', 'tucked', 'cuffed', 'puffed', 'huffed', 'toughs', 'touched', 'roughed']"
0.0,0.0,taught,tourt,T UH R T,toured,T UH R D,"['toured', 'yurt', 'tours', 'tort', 'torte', 'tart', 'moored', 'lured', 'duro', 'durer']"
1.0,1.0,teaching,teatching,T IY CH IH NG,teaching,T IY CH IH NG,"['teaching', 'touching', 'leaching', 'teething', 'reaching', 'teasing', 'beaching', 'teaming', 'teeming', 'teaches']"
1.0,1.0,tech,tec,T EH K,tech,T EH K,"['tech', 'dec', 'deck', 'tack', 'take', 'tuck', 'tick', 'tic', 'tyke', 'turk']"
1.0,1.0,tells,tels,T EH L Z,tells,T EH L Z,"['tells', 'tales', 'tails', 'tiles', 'tolls', 'tears', 'tools', 'thames', 'towels', 'toils']"
0.0,0.0,that,tath,T AE TH,teeth,T IY TH,"['teeth', 'tooth', 'tat', 'path', 'hath', 'tang', 'lath', 'wrath', 'rath', 'tass']"
0.0,0.0,that's,tath's,T AE TH S,paths,P AE TH S,"['paths', 'baths', 'tax', 'tacks', 'taps', 'deaths', 'tangs', 'tags', 'tabs', 'tans']"
0.0,1.0,thing,fing,F IH NG,fang,F AE NG,"['fang', 'ping', 'king', 'thing', 'sing', 'singh', 'ching', 'ming', 'hing', 'zing']"
0.0,1.0,think,tink,T IH NG K,dink,D IH NG K,"['dink', 'tank', 'think', 'pink', 'chink', 'mink', 'minke', 'wink', 'sink', 'sync', 'cinque']"
1.0,1.0,told,tolld,T OW L D,told,T OW L D,"['told', 'tolled', 'doled', 'toiled', 'tailed', 'tooled', 'tiled', 'tolls', 'cold', 'toned']"
0.0,1.0,told,towled,T AW L D,towels,T AW L Z,"['towels', 'told', 'tolled', 'howled', 'toiled', 'tiled', 'towered', 'fouled', 'tailed', 'tooled']"
0.0,1.0,traced,trased,T R EY Z D,crazed,K R EY Z D,"['crazed', 'praised', 'phrased', 'braised', 'grazed', 'trailed', 'trained', 'traced', 'tracer', 'tracy', 'tracey', 'traci', 'tracie']"
1.0,1.0,trust,trost,T R AA S T,trust,T R AH S T,"['trust', 'tryst', 'tryst', 'traced', 'trieste', 'crossed', 'dressed', 'frost', 'dropped', 'thrust']"
0.0,1.0,trust,chrust,K R AH S T,crust,K R AH S T,"['crust', 'crest', 'christ', 'crossed', 'crushed', 'trust', 'thrust', 'grist', 'grassed', 'grossed']"
1.0,1.0,trying,tring,T R IH NG,trying,T R AY NG,"['trying', 'towing', 'toeing', 'teeing', 'tying', 'toying', 'airing', 'erring', 'earring', 'bring']"
0.0,0.0,trying,tyring,T AY R IH NG,tiring,T AY R IH NG,"['tiring', 'tarring', 'tearing', 'tearing', 'towering', 'timing', 'hiring', 'touring', 'turing', 'wiring']"
0.0,0.0,voice,vioce,V AY AH S,bias,B AY AH S,"['bias', 'pious', 'pius', 'vial', 'bios', 'dias', 'vines', 'vibes', 'bikes', 'vying']"
0.0,0.0,wants,wonst,W AH N S T,winced,W IH N S T,"['winced', 'minced', 'waxed', 'whilst', 'sensed', 'lunched', 'fenced', 'munched', 'hunched', 'danced']"
0.0,0.0,wants,wats,W AA T S,watts,W AA T S,"['watts', 'whats', 'whites', 'wits', 'weights', 'waits', 'woks', 'lots', 'lats', 'shots']"
1.0,1.0,wants,whants,W AE N T S,wants,W AA N T S,"['wants', 'wants', 'chants', 'nantes', 'pants', 'lents', 'tents', 'rents', 'gents', 'cents', 'scents']"
0.0,1.0,watch,whatch,W AH CH,which,W IH CH,"['which', 'witch', 'watch', 'watch', 'wuss', 'what', 'one', 'won', 'touch', 'much']"
0.0,0.0,weirdo,wirdo,W ER D OW,widow,W IH D OW,"['widow', 'wordy', 'words', 'wider', 'wader', 'weedy', 'worthy', 'willow', 'woody', 'winnow']"
1.0,1.0,whip,wip,W IH P,whip,W IH P,"['whip', 'whiff', 'wipe', 'weep', 'wop', 'wick', 'whoop', 'wis', 'when', 'win', 'wynn']"
1.0,1.0,with,whith,W IH TH,with,W IH TH,"['with', 'with', 'withe', 'worth', 'with', 'with', 'wit', 'witt', 'whit', 'whiff']"
0.0,0.0,werk,werk,W ER K,work,W ER K,"['work', 'wick', 'wake', 'whack', 'wack', 'woke', 'week', 'weak', 'walk', 'wok']"
0.0,1.0,would,woid,W OY D,lloyd,L OY D,"['lloyd', 'loyd', 'wooed', 'toyed', 'wowed', 'void', 'wad', 'wide', 'would', 'wood']"
0.0,0.0,your,ur,ER,or,ER,"['or', 'are', 'err', 'eure', 'for', 'fur', 'fir', 'fer', 'i', 'eye', 'aye']"
1.0,1.0,yourself,youself,Y UW S EH L F,yourself,Y ER S EH L F,"['yourself', 'herself', 'thyself', 'myself', 'ourself', 'ourself', 'itself', 'useless', 'useful', 'ufos']"
